1,27,10.220399
1,67,9.156167
1,108,9.523604
1,148,9.880386
1,187,9.354531
1,227,9.739348
1,267,10.132632
1,307,9.89021
1,347,8.809417
1,387,6.941475
1,428,3.958838
1,467,4.550134
1,507,14.859262
1,547,14.10206
1,588,21.265455
1,627,23.650058
1,667,19.710148
1,707,12.498567
1,748,14.960958
1,787,6.987026
1,827,7.101075
1,867,4.764494
1,908,4.055137
1,947,3.342429
1,988,1.500342
1,1027,2.465772
1,1068,3.506783
1,1107,3.882372
1,1147,8.937294
1,1192,19.838353
1,1248,15.146599
1,1287,17.636778
1,1327,11.826399
1,1367,5.6876
1,1408,1.541328
1,1447,5.972736
1,1488,7.296668
1,1527,11.21187
1,1567,12.847043
1,1607,15.184568
1,1649,8.767484
1,1688,8.255874
1,1727,10.040266
1,1767,9.827616
1,1807,10.046362
1,1847,9.132227
1,1887,9.656616
1,1927,9.774904
1,1967,9.711498
1,2007,9.568835
1,2047,9.601003
1,2087,9.582852
1,2127,9.548292
1,2166,9.711155
1,2302,9.788179
1,2302,9.535217
1,2303,9.514035
1,2316,9.52337
1,2347,9.780784
1,2379,9.880527
1,2407,9.693718
1,2438,9.686098
1,2478,9.669776
1,2517,9.678942
1,2557,9.491077
1,2597,9.610543
1,2637,9.302457
1,2677,9.536947
1,2717,9.121984
1,2757,9.338067
1,2797,10.46704
1,2837,9.806736
1,2877,9.556633
1,2917,9.900091
1,2958,9.582416
1,2997,9.926402
1,3037,9.763624
1,3077,9.695555
1,3117,10.093643
1,3157,10.784821
1,3197,10.778412
1,3238,10.264267
1,3277,9.666322
1,3317,9.402193
1,3357,9.21378
1,3397,9.521754
1,3437,9.202921
1,3477,9.175789
1,3517,9.281695
1,3558,9.223912
1,3597,8.966203
1,3637,8.655021
1,3677,9.025616
1,3718,9.818854
1,3767,10.666619
1,3807,9.318637
1,3847,13.480553
1,3887,10.849477
1,3928,7.391245
1,3967,11.717617
1,4007,9.167223
1,4047,8.852618
1,4087,9.712235
1,4127,8.991276
1,4167,9.660169
1,4207,9.761219
1,4247,9.318657
1,4287,9.437005
1,4327,9.497289
1,4367,9.993169
1,4407,10.689917
1,4448,10.917285
1,4488,12.893406
1,4527,11.846367
1,4567,11.552905
1,4607,12.014551
1,4647,14.311233
1,4687,11.802509
1,4727,8.863101
1,4767,8.105892
1,4812,7.353714
