0,1,0.14423417 0,2,0.1889965 0,3,0.08952466 0,4,0.04973592 0,5,0.13926058 0,6,0.039788734 0,7,0.17904931 0,8,0.19397008 1,9,0.21883804 0,10,0.034815144 0,11,0.029841552 0,12,0.02486796 
0,1,0.14423417 0,2,0.17904931 0,3,0.07957747 0,4,0.0646567 0,5,0.1293134 0,6,0.04476233 0,7,0.17407571 0,8,0.20391726 1,9,0.23375882 0,10,0.034815144 0,11,0.039788734 0,12,0.029841552 
0,1,0.13926058 0,2,0.16412853 0,3,0.07957747 0,4,0.0646567 0,5,0.13428698 0,6,0.034815144 0,7,0.17407571 0,8,0.19894367 1,9,0.2586268 0,10,0.034815144 0,11,0.04476233 0,12,0.029841552 
0,1,0.13428698 0,2,0.15418135 0,3,0.07957747 0,4,0.06963029 0,5,0.1293134 0,6,0.034815144 0,7,0.16910212 0,8,0.20391726 1,9,0.27852115 0,10,0.034815144 0,11,0.04476233 0,12,0.02486796 
0,1,0.1293134 0,2,0.15418135 0,3,0.08455106 0,4,0.06963029 0,5,0.14423417 0,6,0.039788734 0,7,0.16910212 0,8,0.19894367 1,9,0.3033891 0,10,0.029841552 0,11,0.04476233 0,12,0.02486796 
0,1,0.13428698 0,2,0.15418135 0,3,0.08455106 0,4,0.0646567 0,5,0.14423417 0,6,0.039788734 0,7,0.16412853 0,8,0.19894367 1,9,0.31333628 0,10,0.02486796 0,11,0.04973592 0,12,0.02486796 
0,1,0.13428698 0,2,0.15915494 0,3,0.08455106 0,4,0.0646567 0,5,0.14423417 0,6,0.034815144 0,7,0.15915494 0,8,0.1840229 1,9,0.33820423 0,10,0.019894367 0,11,0.04973592 0,12,0.02486796 
0,1,0.13428698 0,2,0.15418135 0,3,0.08455106 0,4,0.06963029 0,5,0.13428698 0,6,0.034815144 0,7,0.15418135 0,8,0.1840229 1,9,0.36307222 0,10,0.019894367 0,11,0.04973592 0,12,0.02486796 
0,1,0.13428698 0,2,0.15418135 0,3,0.08455106 0,4,0.06963029 0,5,0.13428698 0,6,0.034815144 0,7,0.15915494 0,8,0.1840229 1,9,0.40286094 0,10,0.019894367 0,11,0.04973592 0,12,0.02486796 
0,1,0.1293134 0,2,0.15915494 0,3,0.08455106 0,4,0.0646567 0,5,0.13428698 0,6,0.034815144 0,7,0.15418135 0,8,0.17407571 1,9,0.4177817 0,10,0.019894367 0,11,0.04476233 0,12,0.02486796 
0,1,0.1293134 0,2,0.16412853 0,3,0.07957747 0,4,0.059683103 0,5,0.114392616 0,6,0.034815144 0,7,0.14920776 0,8,0.16910212 1,9,0.44762325 0,10,0.019894367 0,11,0.04476233 0,12,0.029841552 
