0,1,0.029841552 0,2,0.009947184 0,3,0.014920776 0,4,0.0 0,5,0.0 0,6,0.034815144 0,7,0.04973592 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 0,12,0.0 
0,1,0.029841552 0,2,0.004973592 0,3,0.009947184 0,4,0.004973592 0,5,0.0 0,6,0.034815144 0,7,0.04476233 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 0,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.019894367 0,4,0.004973592 0,5,0.0 0,6,0.029841552 0,7,0.04973592 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 0,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.019894367 0,4,0.009947184 0,5,0.0 0,6,0.02486796 0,7,0.05470951 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 0,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.019894367 0,4,0.009947184 0,5,0.0 0,6,0.019894367 0,7,0.05470951 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 0,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.019894367 0,4,0.009947184 0,5,0.0 0,6,0.014920776 0,7,0.059683103 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 0,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.019894367 0,4,0.014920776 0,5,0.0 0,6,0.014920776 0,7,0.0646567 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 0,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.019894367 0,4,0.014920776 0,5,0.004973592 0,6,0.014920776 0,7,0.0646567 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 1,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.014920776 0,4,0.014920776 0,5,0.004973592 0,6,0.014920776 0,7,0.05470951 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 1,12,0.009947184 
0,1,0.039788734 0,2,0.004973592 0,3,0.014920776 0,4,0.014920776 0,5,0.004973592 0,6,0.014920776 0,7,0.04973592 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 1,12,0.009947184 
0,1,0.034815144 0,2,0.004973592 0,3,0.014920776 0,4,0.014920776 0,5,0.004973592 0,6,0.014920776 0,7,0.04476233 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 1,12,0.009947184 
0,1,0.034815144 0,2,0.004973592 0,3,0.014920776 0,4,0.014920776 0,5,0.004973592 0,6,0.014920776 0,7,0.04476233 0,8,0.0 0,9,0.0 0,10,0.0 0,11,0.0 1,12,0.009947184 
