0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 0,6,0.039788734 0,7,0.009947184 0,8,0.0 0,9,0.004973592 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04476233 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.039788734 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04476233 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.039788734 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04476233 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.039788734 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04476233 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.039788734 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04476233 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04476233 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04476233 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04973592 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04973592 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.04973592 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.05470951 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.05470951 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.05470951 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.05470951 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.05470951 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.004973592 0,8,0.0 0,9,0.009947184 0,10,0.029841552 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.02486796 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.02486796 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.02486796 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 0,5,0.0 1,6,0.059683103 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.034815144 0,3,0.0 0,4,0.0 1,5,0.0 1,6,0.0646567 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.029841552 0,3,0.0 0,4,0.0 1,5,0.0 1,6,0.0646567 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.029841552 0,3,0.0 0,4,0.0 1,5,0.0 1,6,0.0646567 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.029841552 0,3,0.0 0,4,0.0 1,5,0.0 1,6,0.0646567 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.029841552 0,3,0.0 0,4,0.0 1,5,0.0 1,6,0.06963029 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.029841552 0,3,0.0 0,4,0.0 1,5,0.0 1,6,0.06963029 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
0,1,0.0 0,2,0.029841552 0,3,0.0 0,4,0.0 1,5,0.0 1,6,0.06963029 0,7,0.0 0,8,0.0 0,9,0.009947184 0,10,0.019894367 0,11,0.0 0,12,0.0 
