0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.14423417 0,5,0.1243398 0,6,0.08952466 0,7,0.09449825 0,8,0.04973592 0,9,0.119366206 0,10,0.1293134 0,11,0.13926058 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.14423417 0,5,0.1243398 0,6,0.08952466 0,7,0.09449825 0,8,0.04973592 0,9,0.119366206 0,10,0.13428698 0,11,0.13926058 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.14423417 0,5,0.1243398 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.13428698 0,11,0.13926058 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.14423417 0,5,0.1243398 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.13428698 0,11,0.13926058 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.14423417 0,5,0.1243398 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.13926058 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.13926058 0,5,0.1243398 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.13926058 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.13428698 0,5,0.1293134 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.13926058 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.1293134 0,5,0.1293134 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.14423417 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.004973592 0,4,0.1293134 0,5,0.1293134 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.14423417 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.1293134 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.13926058 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13428698 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.13926058 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13428698 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.13926058 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13428698 0,6,0.08952466 0,7,0.09449825 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1243398 0,5,0.13428698 0,6,0.08455106 1,7,0.09449825 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1243398 0,5,0.1293134 0,6,0.08455106 1,7,0.10941902 0,8,0.059683103 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1243398 0,5,0.1293134 0,6,0.07957747 1,7,0.114392616 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.04973592 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1243398 0,5,0.1293134 0,6,0.07957747 1,7,0.119366206 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.1243398 0,5,0.1293134 0,6,0.07957747 1,7,0.1243398 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.04973592 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.1243398 0,5,0.1293134 0,6,0.06963029 1,7,0.14423417 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.05470951 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.1293134 0,6,0.06963029 1,7,0.15915494 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.05470951 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13428698 0,6,0.06963029 1,7,0.16412853 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.05470951 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13428698 0,6,0.0646567 1,7,0.1889965 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.05470951 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.13428698 0,5,0.13428698 0,6,0.0646567 1,7,0.20391726 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.059683103 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.13428698 0,5,0.13926058 0,6,0.059683103 1,7,0.22381163 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.059683103 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13926058 0,6,0.059683103 1,7,0.22878523 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14423417 0,12,0.059683103 
0,1,0.029841552 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13926058 0,6,0.0646567 1,7,0.23873241 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.059683103 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13926058 0,6,0.059683103 1,7,0.243706 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.15418135 0,12,0.059683103 
0,1,0.034815144 0,2,0.019894367 0,3,0.009947184 0,4,0.1293134 0,5,0.13926058 0,6,0.0646567 1,7,0.25365317 0,8,0.05470951 0,9,0.1243398 0,10,0.1293134 0,11,0.15418135 0,12,0.059683103 
0,1,0.034815144 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13926058 0,6,0.06963029 1,7,0.2586268 0,8,0.04973592 0,9,0.1243398 0,10,0.1293134 0,11,0.15418135 0,12,0.059683103 
0,1,0.034815144 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13926058 0,6,0.06963029 1,7,0.2586268 0,8,0.04973592 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.034815144 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13926058 0,6,0.07460388 1,7,0.2586268 0,8,0.04973592 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.034815144 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13428698 0,6,0.07957747 1,7,0.2586268 0,8,0.04973592 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.039788734 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13428698 0,6,0.08455106 1,7,0.2586268 0,8,0.04973592 0,9,0.1243398 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.039788734 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13428698 0,6,0.08952466 1,7,0.2586268 0,8,0.04973592 0,9,0.119366206 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.039788734 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13428698 0,6,0.08952466 1,7,0.26857397 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.039788734 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13428698 0,6,0.09947184 1,7,0.26857397 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.039788734 0,2,0.019894367 0,3,0.014920776 0,4,0.1293134 0,5,0.13428698 0,6,0.09947184 1,7,0.26857397 0,8,0.05470951 0,9,0.119366206 0,10,0.1293134 0,11,0.14920776 0,12,0.0646567 
0,1,0.04476233 0,2,0.019894367 0,3,0.014920776 0,4,0.13428698 0,5,0.13428698 0,6,0.10444543 1,7,0.26857397 0,8,0.05470951 0,9,0.119366206 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.019894367 0,3,0.014920776 0,4,0.13428698 0,5,0.13428698 0,6,0.09947184 1,7,0.26857397 0,8,0.05470951 0,9,0.119366206 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13428698 0,5,0.13428698 0,6,0.09947184 1,7,0.26857397 0,8,0.05470951 0,9,0.1243398 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13428698 0,5,0.13428698 0,6,0.09449825 1,7,0.26857397 0,8,0.05470951 0,9,0.1243398 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.09449825 1,7,0.26857397 0,8,0.05470951 0,9,0.1293134 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.09449825 1,7,0.26857397 0,8,0.05470951 0,9,0.1293134 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.09449825 1,7,0.26857397 0,8,0.05470951 0,9,0.1293134 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.09449825 1,7,0.26857397 0,8,0.05470951 0,9,0.1293134 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.08952466 1,7,0.26857397 0,8,0.05470951 0,9,0.1293134 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13926058 0,5,0.13926058 0,6,0.08455106 1,7,0.26857397 0,8,0.059683103 0,9,0.13428698 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13926058 0,5,0.13926058 0,6,0.08455106 1,7,0.27354756 0,8,0.059683103 0,9,0.13428698 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13926058 0,5,0.13926058 0,6,0.07460388 1,7,0.28349474 0,8,0.059683103 0,9,0.13428698 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13926058 0,5,0.13926058 0,6,0.07460388 1,7,0.28349474 0,8,0.05470951 0,9,0.13428698 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13926058 0,5,0.13926058 0,6,0.07460388 1,7,0.28846833 0,8,0.05470951 0,9,0.13428698 0,10,0.13428698 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.13926058 0,5,0.13926058 0,6,0.06963029 1,7,0.29344192 0,8,0.05470951 0,9,0.13428698 0,10,0.13926058 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.0646567 1,7,0.2984155 0,8,0.05470951 0,9,0.13428698 0,10,0.13926058 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.04973592 1,7,0.3033891 0,8,0.05470951 0,9,0.13428698 0,10,0.13926058 0,11,0.14423417 0,12,0.0646567 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.14423417 0,5,0.13926058 0,6,0.04476233 1,7,0.3033891 0,8,0.05470951 0,9,0.13428698 0,10,0.13926058 0,11,0.14423417 0,12,0.0646567 
0,1,0.039788734 0,2,0.02486796 0,3,0.014920776 0,4,0.14920776 0,5,0.13926058 0,6,0.04476233 1,7,0.3033891 0,8,0.05470951 0,9,0.13926058 0,10,0.13926058 0,11,0.14423417 0,12,0.0646567 
0,1,0.039788734 0,2,0.02486796 0,3,0.014920776 0,4,0.15418135 0,5,0.14423417 0,6,0.039788734 1,7,0.31830987 0,8,0.05470951 0,9,0.13926058 0,10,0.13926058 0,11,0.14423417 0,12,0.0646567 
0,1,0.039788734 0,2,0.02486796 0,3,0.014920776 0,4,0.15418135 0,5,0.14423417 0,6,0.039788734 1,7,0.32825705 0,8,0.04973592 0,9,0.13926058 0,10,0.13926058 0,11,0.14423417 0,12,0.0646567 
0,1,0.039788734 0,2,0.02486796 0,3,0.014920776 0,4,0.15418135 0,5,0.14423417 0,6,0.04476233 1,7,0.33820423 0,8,0.04973592 0,9,0.13926058 0,10,0.13926058 0,11,0.14423417 0,12,0.06963029 
0,1,0.039788734 0,2,0.02486796 0,3,0.014920776 0,4,0.15418135 0,5,0.14423417 0,6,0.04476233 1,7,0.33820423 0,8,0.04973592 0,9,0.13926058 0,10,0.13926058 0,11,0.14423417 0,12,0.06963029 
0,1,0.039788734 0,2,0.02486796 0,3,0.014920776 0,4,0.15418135 0,5,0.14423417 0,6,0.04476233 1,7,0.33820423 0,8,0.04973592 0,9,0.13926058 0,10,0.13926058 0,11,0.13926058 0,12,0.06963029 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.15418135 0,5,0.14423417 0,6,0.04476233 1,7,0.33820423 0,8,0.04973592 0,9,0.13926058 0,10,0.13926058 0,11,0.13926058 0,12,0.06963029 
0,1,0.04476233 0,2,0.02486796 0,3,0.014920776 0,4,0.15418135 0,5,0.14423417 0,6,0.04476233 1,7,0.34317783 0,8,0.04973592 0,9,0.13428698 0,10,0.13926058 0,11,0.13926058 0,12,0.06963029 
